episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate
1,2,6690.916892142972,107.25809999999996,0.0516256985263667,0.6760451595715623,0.5
2,2,2096.200803212851,31.54649999999999,0.035436679676227024,0.5055427018711729,1.0
3,2,1283.7743047887552,39.958899999999986,0.06421602576438709,0.3382966022527998,1.0
4,2,6498.747761483232,111.46429999999995,0.05154819895846709,0.5655929696945363,0.5
5,2,6013.615777332028,87.27864999999997,0.08292151074398568,0.293315601106444,1.0
6,2,6007.754249140563,113.56739999999996,0.08278188956798357,0.44263860835691027,1.0
7,2,5819.7080397285135,86.22709999999995,0.08722292633095484,0.7325071927284196,0.5
8,2,6510.842423524698,117.77359999999999,0.05003669659457441,0.6156406068940944,0.5
9,2,831.2064333028117,32.598049999999986,0.09674709020664199,0.5458481245813795,0.5
10,2,6095.7297264755025,88.33019999999996,0.0834483404181661,0.521509912653607,1.0
