episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5874.656509915722,233.02348000000012,1.0,0.9,0.9,0.6291870139541078,36.30535268783569
2,10,4833.089166961768,231.76162000000014,1.0,0.8,0.8,0.5144977337136869,39.18532466888428
3,10,2757.4432443624096,119.45608000000007,1.0,0.9,0.9,0.46027914390777613,30.66216278076172
4,10,5862.406809203775,241.2255700000002,1.0,0.8,0.8,0.6304761990906564,33.08580231666565
5,10,3683.2810334500805,164.25211000000007,1.0,0.9,0.9,0.5023641839566209,26.03096652030945
6,10,8692.242477482088,337.9681700000002,1.0,0.7,0.7,0.7175025711103746,36.39031004905701
7,10,6823.714748973996,292.75152000000037,1.0,0.8,0.8,0.602240912214635,39.958184480667114
8,10,5731.890885475765,241.85650000000015,1.0,0.9,0.9,0.6156756673020104,35.837607860565186
9,10,2805.869762454377,108.30965,1.0,0.9,0.9,0.5076681673067216,30.120017528533936
10,10,4822.670958772551,182.1284600000002,1.0,0.8,0.8,0.6349880362150897,35.94558644294739
