episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,20,5094.036354246469,161.30777,1.0,0.95,0.95,0.7182615839365792,97.7077693939209
2,20,4019.9655687304316,113.04162499999998,1.0,0.95,0.95,0.6949688915846453,64.48793625831604
3,20,4521.508648674482,142.37986999999995,1.0,0.95,0.95,0.6869048278784248,67.01631712913513
4,20,5588.092646453319,184.23156000000006,1.0,0.9,0.9,0.7692861506432098,105.49468278884888
5,20,4452.432703572486,144.90359000000007,1.0,1.0,1.0,0.7023392716163803,77.02892136573792
6,20,7448.816144466616,235.75751000000005,1.0,0.95,0.95,0.7977007605912768,132.68144512176514
7,20,5461.9106699325275,181.18206500000005,1.0,0.9,0.9,0.7482826750022413,110.31514739990234
8,20,6486.438565576557,205.05225000000002,1.0,0.85,0.85,0.7655180873871431,119.8624255657196
9,20,4007.8943288595815,128.28910000000013,1.0,0.85,0.85,0.6816531613178375,63.06523656845093
10,20,5087.318611320579,162.77994000000007,1.0,0.9,0.9,0.74860395531753,81.37522506713867
